track_name,artist,album,release_date,popularity,spotify_url,id,duration_min,nconst,primaryName,birthYear,deathYear,primaryProfession,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
Hold On,Chord Overstreet,Hold On,2017-02-03,80,https://open.spotify.com/track/5vjLSffimiIP26QG5WcN2K,5vjLSffimiIP26QG5WcN2K,3.314216666666667,nm3432881,Chord Overstreet,1989.0,,"actor,soundtrack,archive_footage",tt1085779,movie,The Hole,The Hole,0.0,2009.0,,92.0,"Fantasy,Thriller",5.7,24778
Until I Found You,Stephen Sanchez,Until I Found You,2021-09-01,80,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV,0T5iIrXA4p5GsubkhuBIKV,2.962,nm13633154,Stephen Sanchez,,,"music_artist,actor,composer",tt2078446,tvseries,Tu Cara Me Suena,Tu Cara Me Suena,0.0,2011.0,,150.0,"Comedy,Game-Show,Music",6.8,219
Until I Found You,Stephen Sanchez,Until I Found You,2021-09-01,80,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV,0T5iIrXA4p5GsubkhuBIKV,2.962,nm13633154,Stephen Sanchez,,,"music_artist,actor,composer",tt29259648,tvseries,Agt: Fantasy League,Agt Fantasy League,0.0,2024.0,,,"Music,Reality-Tv",6.1,137
Until I Found You,Stephen Sanchez,Until I Found You,2021-09-01,80,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV,0T5iIrXA4p5GsubkhuBIKV,2.962,nm13633154,Stephen Sanchez,,,"music_artist,actor,composer",tt1480165,tvseries,The Project,The 7Pm Project,0.0,2009.0,,60.0,"Comedy,News,Talk-Show",4.2,944
Symphony (Feat. Zara Larsson),Clean Bandit,What Is Love? (Deluxe Edition),2018-11-30,80,https://open.spotify.com/track/72gv4zhNvRVdQA0eOenCal,72gv4zhNvRVdQA0eOenCal,3.54555,nm6492489,Clean Bandit,,,"music_artist,actor,composer",tt1618434,movie,Murder Mystery,Murder Mystery,0.0,2019.0,,97.0,"Crime,Mystery,Romance",6.1,179493
Symphony (Feat. Zara Larsson),Clean Bandit,What Is Love? (Deluxe Edition),2018-11-30,80,https://open.spotify.com/track/72gv4zhNvRVdQA0eOenCal,72gv4zhNvRVdQA0eOenCal,3.54555,nm6492489,Clean Bandit,,,"music_artist,actor,composer",tt2431438,tvseries,Sense8,Sense8,0.0,2015.0,2018.0,60.0,"Drama,Mystery,Sci-Fi",8.2,167463
Symphony (Feat. Zara Larsson),Clean Bandit,What Is Love? (Deluxe Edition),2018-11-30,80,https://open.spotify.com/track/72gv4zhNvRVdQA0eOenCal,72gv4zhNvRVdQA0eOenCal,3.54555,nm6492489,Clean Bandit,,,"music_artist,actor,composer",tt4180560,movie,Otherhood,Otherhood,0.0,2019.0,,100.0,Comedy,6.1,13005
Symphony (Feat. Zara Larsson),Clean Bandit,What Is Love? (Deluxe Edition),2018-11-30,80,https://open.spotify.com/track/72gv4zhNvRVdQA0eOenCal,72gv4zhNvRVdQA0eOenCal,3.54555,nm6492489,Clean Bandit,,,"music_artist,actor,composer",tt7877276,movie,Milosc Jest Wszystkim,Milosc Jest Wszystkim,0.0,2018.0,,130.0,"Comedy,Romance",4.7,293
We Don'T Talk Anymore (Feat. Selena Gomez),Charlie Puth,Nine Track Mind,2016-01-29,80,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj,06KyNuuMOX1ROXRhj787tj,3.628433333333333,nm7202853,Charlie Puth,1991.0,,"music_artist,composer,actor",tt2820852,movie,Furious 7,Fast & Furious 7,0.0,2015.0,,137.0,"Action,Thriller",7.1,426779
We Don'T Talk Anymore (Feat. Selena Gomez),Charlie Puth,Nine Track Mind,2016-01-29,80,https://open.spotify.com/track/06KyNuuMOX1ROXRhj787tj,06KyNuuMOX1ROXRhj787tj,3.628433333333333,nm7202853,Charlie Puth,1991.0,,"music_artist,composer,actor",tt5433140,movie,Fast X,Fast X,0.0,2023.0,,141.0,"Action,Adventure,Crime",5.7,134792
